Rank,Units
1310,100
1316,502
1319,100
1321,98
1324,99
1325,99
1333,97
1334,99
1341,100
1342,97
1343,98
1349,98
1353,98
1355,98
1356,98
1358,97
1359,97
1361,97
1365,101
1368,98
1369,96
1371,97
1372,97
1379,96
1381,96
1386,96
1388,96
1390,96
1391,96
1392,96
1403,94
1409,95
1412,95
1415,94
1419,95
1423,95
1425,96
1427,94
1428,94
1432,94
1435,94
1436,94
1438,94
1440,93
1449,92
1456,94
1462,92
1463,92
1469,92
1472,92
1474,92
1479,92
1492,91
1493,91
1497,91
1513,90
1517,90
1518,90
1519,91
1523,90
1524,88
1537,87
1544,89
1551,87
1552,88
1562,88
1567,88
1594,88
1595,88
1599,85
1612,86
1632,85
1640,86
1645,85
1654,83
1661,85
1666,83
1682,84
1684,83
1686,84
1690,84
1692,84
1697,83
1703,84
1704,83
1724,82
1731,82
1743,82
1776,79
1778,81
1780,80
1784,80
1787,79
1789,80
1793,79
1797,80
1811,80
1818,79
1819,79
1833,79
1836,77
1840,78
1848,78
1855,79
1856,78
1861,79
1903,76
1928,75
1929,75
1932,75
1935,76
1941,75
1944,76
1948,74
1952,75
1954,75
1959,75
1960,75
1976,73
1979,74
1982,76
1988,74
1990,74
1997,142
2002,74
2016,68
2023,73
2033,74
2035,72
2050,72
2056,72
2058,72
2063,72
2067,73
2068,72
2072,72
2082,72
2085,72
2086,71
2088,71
2090,71
2093,71
2109,71
2111,71
2115,70
2116,71
2128,71
2142,70
2143,70
2146,70
2152,70
2160,72
2175,70
2176,69
2186,69
2187,68
2193,71
2218,69
2219,68
2222,68
2223,68
2224,67
2226,68
2231,68
2235,68
2240,68
2247,67
2257,67
2260,67
2271,67
2274,67
2283,67
2301,66
2312,66
2319,66
2327,66
2350,66
2374,65
2383,65
2385,65
2387,64
2405,64
2423,63
2434,65
2438,64
2452,64
2458,63
2469,63
2476,63
2479,63
2491,62
2498,62
2499,62
2511,62
2539,61
2561,61
2566,61
2580,60
2593,62
2602,58
2618,60
2626,60
2648,60
2686,59
2690,59
2691,59
2695,60
2701,60
2712,58
2735,56
2745,58
2749,58
2764,58
2785,57
2808,57
2846,57
2858,56
2901,56
2905,56
2907,56
2917,55
2921,55
2928,55
2936,55
2941,56
2951,55
2956,55
2957,55
2984,55
2993,54
2995,54
3008,54
3079,53
3081,53
3086,53
3109,53
3119,53
3139,52
3140,53
3158,53
3172,52
3178,52
3200,52
3223,51
3262,51
3277,51
3282,51
3292,51
3342,50
3435,49
3458,49
3469,49
3529,48
3543,47
3554,48
3567,48
3573,47
3575,47
3584,46
3594,47
3600,47
3610,47
3633,47
3636,47
3678,46
3691,46
3696,46
3704,46
3738,46
3765,46
3782,45
3792,45
3824,45
3833,45
3845,45
3857,45
3859,45
3872,45
3895,44
3899,44
3905,44
3921,44
3933,44
3941,44
3960,44
3963,44
3991,44
4001,44
4011,43
4023,43
4056,43
4109,43
4124,43
4152,42
4189,42
4211,42
4217,42
4226,42
4286,42
4317,41
4353,41
4390,41
4397,41
4405,40
4418,40
4427,40
4433,40
4465,40
4473,40
4476,40
4486,40
4489,40
4520,40
4522,40
4530,40
4542,39
4572,39
4585,39
4598,39
4605,39
4615,39
4684,39
4732,38
4748,38
4762,38
4767,39
4779,38
4782,38
4794,38
4824,38
4828,38
4830,38
4885,37
4898,37
4907,37
4910,37
4914,37
4920,37
4934,37
4936,37
4938,37
4965,37
4973,37
5002,37
5011,37
5026,36
5030,36
5034,36
5040,36
5043,36
5072,36
5093,36
5094,36
5103,36
5121,36
5122,36
5139,36
5144,36
5146,36
5158,36
5161,36
5181,36
5182,36
5188,36
5199,36
5222,36
5231,35
5235,35
5247,35
5248,35
5299,35
5312,35
5326,35
5331,35
5333,35
5354,35
5361,35
5363,35
5381,35
5427,34
5437,34
5447,34
5450,34
5464,34
5469,34
5479,34
5499,34
5500,34
5501,34
5504,34
5521,34
5541,34
5552,34
5555,34
5558,34
5560,34
5566,34
5579,34
5604,33
5617,33
5645,33
5688,33
5691,33
5728,33
5737,33
5750,33
5764,33
5772,33
5792,33
5800,33
5806,33
5821,33
5828,32
5861,33
5893,33
5945,32
5947,32
5956,32
5961,32
5972,32
5982,32
6001,32
6018,32
6019,33
6020,32
6033,32
6044,32
6047,32
6057,32
6075,31
6099,31
6125,31
6129,31
6139,31
6154,31
6155,31
6161,31
6184,31
6191,31
6198,31
6206,31
6208,31
6212,31
6255,31
6264,31
6318,30
6327,30
6381,30
6479,30
6525,30
6547,30
6589,29
6630,29
6642,29
6725,29
6765,29
6774,29
6805,29
6812,28
6933,29
6947,28
7049,28
7054,28
7060,28
7113,28
7114,28
7138,28
7144,28
7166,28
7201,28
7257,27
7318,27
7486,27
7640,26
7680,26
7726,26
7772,26
7818,26
7967,25
8017,25
8070,26
8101,25
8150,25
8391,24
8398,24
8445,24
8538,24
8550,26
8681,24
8733,24
8734,24
8740,24
8741,24
8797,23
8932,23
9001,23
9122,23
9215,23
9236,23
9392,23
9407,23
9501,22
9552,22
9641,22
9672,22
9735,21
9805,21
9993,21
10013,21
10216,21
10235,21
10271,21
10283,21
10417,20
10470,20
10487,20
10644,20
10669,20
10781,20
10820,20
10863,19
10935,19
11040,18
11160,19
11264,19
11299,19
11301,19
11637,18
11695,18
11698,19
11720,19
11750,19
11759,18
11795,18
11824,18
11883,18
11913,19
11920,18
11936,18
11960,19
11990,18
12094,18
12116,17
12151,18
12158,18
12311,18
12356,18
12382,18
12409,18
12419,18
12429,18
12554,17
12655,17
12882,17
12901,17
12940,17
12949,18
12978,17
13010,17
13012,17
13129,17
13163,17
13271,17
13314,17
13392,17
13397,17
13431,17
13478,16
13491,16
13569,15
13668,16
13842,16
13895,16
13967,16
14015,16
14094,16
14129,16
14251,16
14262,16
14319,16
14358,16
14377,16
14378,16
14448,15
14556,15
14617,16
14689,15
14736,15
14883,15
15134,15
15155,15
15168,15
15215,15
15222,15
15226,15
15340,15
15351,15
15374,15
15433,15
15538,15
15622,15
15632,15
15665,15
15693,14
15721,14
15724,14
15736,15
15758,14
15780,14
15971,14
15978,14
15987,14
16175,14
16282,14
16348,14
16354,14
16398,14
16472,14
16525,14
16638,14
16663,14
16708,14
16760,14
16797,14
16811,14
16850,14
16969,14
17002,14
17023,14
17072,13
17104,13
17200,13
17342,13
17355,13
17541,13
17553,13
18012,13
18222,13
18239,13
18291,13
18389,13
18437,13
18445,13
18500,13
18515,13
18548,12
18622,13
18762,12
18775,12
18823,12
18864,12
18905,12
19030,12
19080,12
19110,12
19231,12
19481,12
19524,12
19531,12
19640,12
19678,12
19767,12
19864,12
19936,12
19948,12
19969,12
19971,12
19996,12
20057,12
20058,12
20235,12
20249,12
20282,12
20283,12
20560,11
20688,11
20898,12
20903,11
20963,11
21312,11
21540,11
21606,11
21618,11
21652,11
21825,11
21916,11
21985,11
22002,11
22162,11
22424,10
22517,11
22681,11
22682,11
22760,10
23026,10
23031,10
23066,10
23101,10
23286,10
23637,9
23763,10
23855,9
23910,10
24679,10
24683,10
24871,10
25116,10
25173,10
25181,10
25234,10
25297,10
25343,10
25787,9
25879,9
26287,9
26755,9
27141,9
27434,9
27451,9
27453,9
27501,9
28075,9
28642,6
28719,8
28825,8
28858,8
29067,9
29150,8
29275,8
29401,8
29553,8
29624,8
29746,8
29800,8
